Name,WorkHrs,Ask_Price
2017 Cat D3K2 XL Crawler Dozer,455 hrs,"US $79,500"
2013 Case 1650M WT Crawler Dozer,"5,120 hrs","US $38,000"
2016 (unverified) Cat D4K2 LGP Crawler Dozer,"1,435 hrs","US $42,000"
2014 Case 2050M LGP Crawler Dozer,"3,247 hrs","US $47,000"
2014 Cat D6T XW Crawler Dozer,"11,386 hrs","US $20,000"
2012 Cat D6N XL Crawler Dozer,"4,399 hrs","US $86,000"
2014 John Deere 450J LGP Crawler Dozer,"1,753 hrs","US $23,000"
2014 Case 2050M Crawler Dozer,"2,710 hrs","US $53,000"
2014 John Deere 450J LT Crawler Dozer,"2,128 hrs","US $23,000"
2014 Cat D6N XL Crawler Dozer,"4,035 hrs","US $67,000"
2014 Cat D6T LGP Crawler Dozer,"3,050 hrs","US $120,000"
2014 Cat D6N XL Crawler Dozer,"4,290 hrs","US $125,000"
2016 Cat D5K2LGP Crawler Dozer,"2,068 hrs","US $23,000"
Cat D4G LGP Crawler Dozer,"6,668 hrs","US $18,000"
2017 Cat D6N LGP Crawler Dozer,"3,466 hrs","US $90,000"
Cat D4H LGP Crawler Dozer,"8,227 hrs","US $19,000"
2015 Cat D6T LGP Crawler Dozer,"7,783 hrs","US $44,000"
2015 John Deere 700K XLT Crawler Dozer,"2,146 hrs","US $63,000"
Cat D8H Crawler Dozer,779 hrs,"US $7,000"
2011 Cat D6K XL Crawler Dozer,"5,900 hrs","US $28,500"
2019 Cat D3K2 XL Crawler Dozer,396 hrs,"US $92,500"
Case 1150D Crawler Dozer,"2,024 hrs","US $5,500"
2016 Cat D6K2 LPG Crawler Dozer,"5,381 hrs","US $53,000"
2008 Cat D6K LGP Crawler Dozer,"10,089 hrs","US $30,000"
2013 John Deere 650K LGP Crawler Dozer,"5,690 hrs","US $60,000"
2015 Cat D3K2 LGP Crawler Dozer,"3,096 hrs","US $45,000"
Cat D5CIII Crawler Dozer,"9,961 hrs","US $6,000"
Cat D6M LGP Crawler Dozer,"15,031 hrs","US $15,000"
Cat D6R LGP Crawler Dozer,"8,336 hrs","US $15,000"
2015 Cat D6K2 LGP Crawler Dozer,"5,288 hrs","US $60,500"
2015 John Deere 450J LGP Crawler Dozer,"3,302 hrs","US $75,000"
Cat D8N Crawler Dozer,"8,118 hrs","US $85,000"
2011 Cat D6T Crawler Dozer,"10,519 hrs","US $60,000"
Cat D8T Crawler Dozer,"10,837 hrs","US $60,000"
2007 Cat D10T Crawler Dozer,"4,906 hrs","US $300,000"
2018 Komatsu D61EX-24 Crawler Dozer,793 hrs,"US $175,000"
2014 Cat D8T Crawler Dozer,"9,755 hrs","US $175,000"
2016 Cat D5K2 XL Crawler Dozer,629 hrs,"US $125,000"
2012 John Deere 850K LGP Crawler Dozer,"6,492 hrs","US $100,000"
2016 Cat D6N LGP Crawler Dozer,"3,020 hrs","US $175,000"
2018 Cat D8T Crawler Dozer,"1,213 hrs","US $605,000"
2012 Cat D6T XW Crawler Dozer,"9,825 hrs","US $140,000"
2017 Cat D6T XL Crawler Dozer,434 hrs,"US $275,000"
2007 Komatsu D275AX-5EO Crawler Dozer,"7,171 hrs","US $145,000"
2017 Cat D3K2 XL Crawler Dozer,455 hrs,"US $79,500"
2013 Case 1650M WT Crawler Dozer,"5,120 hrs","US $38,000"
2016 (unverified) Cat D4K2 LGP Crawler Dozer,"1,435 hrs","US $42,000"
2014 Case 2050M LGP Crawler Dozer,"3,247 hrs","US $47,000"
2014 Cat D6T XW Crawler Dozer,"11,386 hrs","US $20,000"
2012 Cat D6N XL Crawler Dozer,"4,399 hrs","US $86,000"
2014 John Deere 450J LGP Crawler Dozer,"1,753 hrs","US $23,000"
