Name,WorkHrs,Ask_Price
crawler_0,2376,379346
crawler_1,6288,74626
crawler_2,3580,222602
crawler_3,9018,15813
crawler_5,6387,95486
crawler_6,1218,159263
crawler_8,1745,18535
crawler_9,4066,178495
crawler_10,4219,36853
crawler_11,3223,89116
crawler_12,5366,56463
crawler_13,10800,43345
crawler_15,7599,80505
crawler_16,9647,121012
crawler_17,6735,65713
crawler_19,936,197861
crawler_20,862,538015
crawler_21,8266,103597
crawler_24,2922,78404
crawler_25,6295,35108
crawler_26,4372,208275
crawler_27,8233,70500
crawler_28,7416,110161
crawler_29,11414,42352
crawler_31,5461,114239
crawler_33,9586,44341
crawler_35,1721,69779
crawler_36,8304,135324
crawler_37,2004,522965
crawler_39,3488,199510
crawler_40,4068,105209
crawler_41,1841,189638
crawler_42,10865,152046
crawler_43,2556,296251
crawler_44,3866,179008
crawler_45,689,143584
crawler_46,9485,37854
crawler_47,9625,21225
crawler_48,8015,47408
crawler_50,9510,170932
crawler_51,8275,90346
crawler_52,6761,108455
crawler_55,3987,182958
crawler_56,6204,135159
crawler_57,3185,181603
crawler_58,11584,11567
crawler_60,2646,380900
crawler_61,5867,54558
crawler_62,5303,297287
crawler_64,6885,60567
crawler_65,5151,125792
crawler_67,10751,160028
crawler_68,8246,30699
crawler_70,10073,23796
crawler_72,1359,284060
crawler_73,9362,131072
crawler_74,4106,55721
crawler_75,4333,224298
crawler_76,5618,254873
crawler_77,5509,208584
crawler_78,7489,46346
crawler_79,11923,89840
crawler_80,6411,101292
crawler_81,10056,163155
crawler_82,7093,67094
crawler_84,8833,98025
crawler_85,7873,53104
crawler_86,9734,124827
crawler_87,8842,37108
crawler_90,2444,95964
crawler_91,3253,227034
crawler_92,11323,17695
crawler_93,1403,166732
crawler_95,9140,54121
crawler_96,6081,28885
crawler_97,3933,85024
crawler_99,2767,114459
crawler_100,9767,105595
crawler_101,1101,25433
crawler_103,8891,69388
crawler_104,4129,89143
crawler_107,1257,358585
crawler_109,8015,88779
crawler_111,7102,115127
crawler_112,10439,26231
crawler_113,10700,67946
crawler_114,1529,290727
crawler_115,1077,62313
crawler_117,1775,498794
crawler_118,3701,254253
crawler_120,3754,101810
crawler_121,11561,167271
crawler_122,1021,403221
crawler_123,2885,535591
crawler_125,11541,32636
crawler_127,1452,313524
crawler_128,4923,78918
crawler_129,6948,28968
crawler_130,4986,178962
crawler_131,8872,21769
crawler_133,2984,70781
crawler_134,1944,7472
crawler_136,11163,79449
crawler_137,1151,229325
crawler_138,8290,104035
crawler_139,1359,432752
crawler_140,714,292378
crawler_142,4609,67244
crawler_143,8680,100677
crawler_144,9505,110461
crawler_145,3673,38129
crawler_147,2024,594530
crawler_149,5355,204632
crawler_150,8489,117675
crawler_152,688,245465
crawler_153,10343,99435
crawler_154,9639,141356
crawler_155,10223,73803
crawler_156,11521,10659
crawler_157,7293,76777
crawler_158,2327,318690
crawler_159,11333,160039
crawler_161,2365,338436
crawler_162,9696,45754
crawler_163,6795,29398
crawler_167,6632,122930
crawler_168,4800,256529
crawler_169,2757,171630
crawler_170,3304,88565
crawler_171,4023,176944
crawler_172,9095,163416
crawler_173,7228,29442
crawler_174,7348,18268
crawler_175,1865,555891
crawler_176,4515,228131
crawler_177,3597,77645
crawler_178,1699,328647
crawler_179,6849,60233
crawler_180,4356,199526
crawler_181,11086,27728
crawler_183,4474,189145
crawler_184,2402,274305
crawler_185,7579,109814
crawler_186,11878,172107
crawler_187,11344,50631
crawler_188,6825,143676
crawler_190,11747,128632
crawler_192,8875,97608
crawler_194,10117,46476
crawler_196,10773,78225
crawler_197,10460,32292
crawler_200,5137,98431
crawler_201,10367,91428
crawler_203,6359,46263
crawler_205,1603,50282
crawler_206,6172,139053
crawler_207,1110,582251
crawler_208,731,263665
crawler_209,7976,55326
crawler_210,3710,72745
crawler_212,624,259254
crawler_213,6067,125289
crawler_214,6988,127052
crawler_216,8012,27649
crawler_217,9796,73138
crawler_220,4594,261019
crawler_221,6849,56806
crawler_222,10880,138678
crawler_223,10961,151991
crawler_224,2236,556469
crawler_225,1715,12356
crawler_226,8585,50606
crawler_227,4005,212873
crawler_228,11592,171195
